gpu_id,timestamp,temperature_c,power_draw_w,fan_speed_rpm,memory_errors,compute_utilization,memory_bandwidth,job_type,job_duration_hrs,gpu_age_days,data_center_temp_c,error_code,failure_label,time_to_failure_days
GPU_0103,2025-07-26 02:54:17,79.64513550266857,285.8392140637188,3129,3,7.672633429318676,470.73905197225895,inference,2.418682084493267,182,33.98081569267926,NONE,0,0.3982970731731833
GPU_0436,2025-07-14 12:03:49,86.00363279985318,231.38445830760466,2313,5,95.71124262461129,323.0600164491605,inference,42.56495253034948,1610,24.881760867841134,NONE,0,13.443389509836042
GPU_0861,2025-07-06 09:58:44,64.94580561373638,361.2286291376165,2464,2,82.82673126721306,500.6348667404256,training,2.6162386923140857,651,23.532142192036925,NONE,0,0.9454494271809656
GPU_0271,2025-07-20 07:22:13,82.1526604215171,317.05803662770353,4296,2,75.93758570327607,660.6165937973193,training,4.444150279670961,1085,27.07804295411884,NONE,0,0.38234283414327225
GPU_0107,2025-07-17 01:04:44,57.282253529864775,186.59350246607895,3053,3,53.4499359726744,505.9275880774698,training,8.121488712869812,754,24.57649745507387,NONE,0,21.105810626712575
GPU_0072,2025-07-04 20:54:30,59.68414116514043,301.3257641964922,1968,2,63.764270334638226,236.58959403931516,training,4.245684311445977,1276,23.65152824726029,NONE,0,16.626640567134597
GPU_0701,2025-07-17 08:42:55,79.57487511745371,330.0288435102781,2866,1,86.43625673076203,547.3531634649532,inference,1.6231567952095332,914,23.850783351264294,NONE,0,2.2151717665345187
GPU_0021,2025-07-23 02:04:59,73.04106528623359,227.73631836606,3528,3,38.88735719262675,303.8335773755377,training,12.07634918837382,491,29.287912174597448,NONE,0,9.525236681601557
GPU_0615,2025-07-23 08:57:47,81.06427097932259,245.69111896063728,3169,0,10.458538644140813,610.6813509006029,training,17.278842514435027,1020,30.907199187771052,NONE,0,26.65914850236035
GPU_0122,2025-07-13 11:11:02,69.68555769059004,222.59814757436018,3373,4,84.09618075042,495.1488183822279,training,11.771424942089993,774,27.5670005804826,NONE,0,2.426378971085023
GPU_0467,2025-07-16 08:44:46,54.87453923485725,193.8671780538938,4525,2,6.274262996446634,564.01148745903,training,9.519148326145226,1567,29.254917622741736,NONE,0,6.665376938467805
GPU_0215,2025-07-09 13:49:44,67.23577357502677,328.8488973534317,3778,2,91.85730397828667,648.6586131117037,inference,2.026808195968937,238,29.67278399898506,ECC_ERROR,0,6.839906815899259
GPU_0331,2025-07-02 16:23:52,77.02002538468011,120.50130862287415,4117,2,72.19303679435818,403.15253053193635,training,11.305039511098657,784,23.815369838790176,NONE,0,27.375971257766174
GPU_0459,2025-07-10 03:08:38,63.672647973538275,216.27094133379262,3309,1,44.543152369308004,386.2635456102051,training,3.518448679656032,1422,22.704141052223,NONE,0,19.090329574082293
GPU_0088,2025-07-05 10:43:17,62.135664814942814,228.87703320106743,3700,2,61.53593973999423,608.3991332118833,training,13.186096884630004,554,28.06169042581328,NONE,0,6.171297239833253
GPU_0373,2025-07-27 06:08:23,69.83853402964122,257.8593977801747,2448,0,53.50353455299738,763.7462302158859,training,67.91267416840557,1605,25.911564269043936,NONE,0,12.799490446038092
GPU_0100,2025-07-06 22:33:31,59.40493734454805,188.01518733412328,3596,3,40.156534369852956,222.81378144799191,training,4.50551555567426,363,28.075781106693835,NONE,0,6.475621336110922
GPU_0872,2025-07-23 07:23:36,67.955004831135,317.7467193709179,4248,2,12.855016702912202,408.4220357237648,training,15.48222178272306,92,29.243327999361668,NONE,0,2.0511716783449847
GPU_0664,2025-07-21 18:53:44,65.63501464671457,158.20501484951188,3175,2,80.83374248041409,572.4616849771844,inference,7.11476948201617,724,24.709378301831936,NONE,0,2.221046888156512
GPU_0131,2025-07-21 09:43:24,60.095855392515794,158.93637512433367,2666,1,58.77482725128572,580.4814172952371,training,4.499439378626758,1510,28.69373295956965,NONE,0,7.695326701476313
GPU_0662,2025-07-24 08:38:08,74.80737231867414,252.90265549550335,4067,3,70.25353796844844,543.2130111780198,training,6.155690584472215,1013,27.168207027281692,NONE,0,21.984212425906588
GPU_0309,2025-07-15 18:31:49,71.45987938950773,185.65234588766705,2367,2,20.842315590600734,551.7161703854799,training,35.27064988114587,1338,26.46881197914099,NONE,0,20.874440731046878
GPU_0770,2025-07-30 03:26:45,61.46329415713374,260.3878976885377,4832,3,20.130101093502827,203.5241380306103,inference,10.797364805064987,1756,23.220977179602222,NONE,0,0.11853986824135533
GPU_0344,2025-07-13 20:06:13,64.85038735059926,212.99531517795722,3268,3,83.8990810277994,521.4089390816304,training,5.386227150652897,690,25.884811760104785,NONE,0,3.0532154050363784
GPU_0492,2025-07-18 00:45:49,62.28724400152163,290.36977620303264,1722,4,54.735275015070364,606.7703319543022,training,24.991874824729354,250,21.92490764000361,NONE,0,19.98517136513723
GPU_0414,2025-07-21 13:37:41,58.61352360757047,203.60656971041803,3360,2,45.285770592170536,471.33619759060895,inference,5.579700728971758,1328,24.47260961321316,NONE,0,12.577916989218611
GPU_0806,2025-07-04 13:56:41,48.01730327592964,322.2275386143138,4130,4,9.326455233495945,261.89080922904236,inference,3.658867619093951,808,26.561594652784674,NONE,1,5.429500422875297
GPU_0386,2025-07-29 16:14:35,60.16172255643928,281.47037572353105,3900,2,42.6189471955511,453.288412734258,training,16.258827838597544,45,22.99406558077851,NONE,0,15.747112110517454
GPU_0192,2025-07-29 00:44:09,58.759725016843774,212.09523531593743,3029,3,70.35788595426239,237.57483448020247,inference,5.353839359457879,1240,30.016976764105348,NONE,0,1.364307516372537
